"taxon","taxonLabel"
"http://purl.obolibrary.org/obo/NCBITaxon_1756204","Lerwa lerwa"
"http://purl.obolibrary.org/obo/NCBITaxon_1756206","Melanoperdix niger"
"http://purl.obolibrary.org/obo/NCBITaxon_2567902","Excalfactoria adansonii"
"http://purl.obolibrary.org/obo/NCBITaxon_46218","Excalfactoria chinensis"
"http://purl.obolibrary.org/obo/NCBITaxon_9006","Phasianidae sp."
"http://purl.obolibrary.org/obo/NCBITaxon_3150883","Campocolinus schlegelii"
"http://purl.obolibrary.org/obo/NCBITaxon_9103","Meleagris gallopavo"
"http://purl.obolibrary.org/obo/NCBITaxon_9101","Meleagris ocellata"
"http://purl.obolibrary.org/obo/NCBITaxon_125074","Megapodius reinwardt"
"http://purl.obolibrary.org/obo/NCBITaxon_1517986","Megapodius bernsteinii"
"http://purl.obolibrary.org/obo/NCBITaxon_1517987","Megapodius geelvinkianus"
"http://purl.obolibrary.org/obo/NCBITaxon_1517988","Megapodius laperouse"
"http://purl.obolibrary.org/obo/NCBITaxon_177165","Megapodius cumingii"
"http://purl.obolibrary.org/obo/NCBITaxon_177166","Megapodius decollatus"
"http://purl.obolibrary.org/obo/NCBITaxon_177167","Megapodius forstenii"
"http://purl.obolibrary.org/obo/NCBITaxon_177168","Megapodius layardi"
"http://purl.obolibrary.org/obo/NCBITaxon_177169","Megapodius pritchardii"
"http://purl.obolibrary.org/obo/NCBITaxon_177170","Megapodius tenimberensis"
"http://purl.obolibrary.org/obo/NCBITaxon_8979","Megapodius freycinet"
"http://purl.obolibrary.org/obo/NCBITaxon_3085678","Megapodius nicobariensis"
"http://purl.obolibrary.org/obo/NCBITaxon_81904","Megapodius eremita"
"http://purl.obolibrary.org/obo/NCBITaxon_1517985","Aepypodius bruijnii"
"http://purl.obolibrary.org/obo/NCBITaxon_30401","Aepypodius arfakianus"
"http://purl.obolibrary.org/obo/NCBITaxon_1517990","Talegalla cuvieri"
"http://purl.obolibrary.org/obo/NCBITaxon_1517991","Talegalla jobiensis"
"http://purl.obolibrary.org/obo/NCBITaxon_177180","Talegalla fuscirostris"
"http://purl.obolibrary.org/obo/NCBITaxon_177176","Eulipoa wallacei"
"http://purl.obolibrary.org/obo/NCBITaxon_177178","Macrocephalon maleo"
"http://purl.obolibrary.org/obo/NCBITaxon_81907","Alectura lathami"
"http://purl.obolibrary.org/obo/NCBITaxon_8981","Leipoa ocellata"
"http://purl.obolibrary.org/obo/NCBITaxon_1857023","Galliformes sp."
"http://purl.obolibrary.org/obo/NCBITaxon_822926","Galliformes sp. BOLD:AAD6972"
"http://purl.obolibrary.org/obo/NCBITaxon_822927","Galliformes sp. BOLD:AAF7609"
"http://purl.obolibrary.org/obo/NCBITaxon_917772","Galliformes sp. BOLD:AAE4995"
"http://purl.obolibrary.org/obo/NCBITaxon_2002977","Gallus environmental sample"
"http://purl.obolibrary.org/obo/NCBITaxon_8997","Numididae sp."
"http://purl.obolibrary.org/obo/NCBITaxon_388968","Agelastes meleagrides"
"http://purl.obolibrary.org/obo/NCBITaxon_570426","Agelastes niger"
"http://purl.obolibrary.org/obo/NCBITaxon_75940","Guttera plumifera"
"http://purl.obolibrary.org/obo/NCBITaxon_8994","Guttera pucherani"
"http://purl.obolibrary.org/obo/NCBITaxon_8992","Acryllium vulturinum"
"http://purl.obolibrary.org/obo/NCBITaxon_8996","Numida meleagris"
"http://purl.obolibrary.org/obo/NCBITaxon_3004248","Numida meleagris x Gallus gallus"
"http://purl.obolibrary.org/obo/NCBITaxon_101514","Anas nesiotis"
"http://purl.obolibrary.org/obo/NCBITaxon_75837","Anas chlorotis"
"http://purl.obolibrary.org/obo/NCBITaxon_75847","Anas georgica"
"http://purl.obolibrary.org/obo/NCBITaxon_1415635","Pachyanas chathamica"
"http://purl.obolibrary.org/obo/NCBITaxon_2294095","Anas platyrhynchos x Anas superciliosa"
"http://purl.obolibrary.org/obo/NCBITaxon_42806","Anas sp."
"http://purl.obolibrary.org/obo/NCBITaxon_45632","Anas superciliosa"
"http://purl.obolibrary.org/obo/NCBITaxon_75839","Anas crecca"
"http://purl.obolibrary.org/obo/NCBITaxon_2857506","Anas fulvigula x Anas rubripes"
