"aviLabel","taxon","aviId","avidb_link"
"Crypturellus bartletti","http://purl.obolibrary.org/obo/NCBITaxon_2985441","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-88B9ABC1","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-88B9ABC1"
"Crypturellus parvirostris","http://purl.obolibrary.org/obo/NCBITaxon_198471","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-2988DEC6","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-2988DEC6"
"Crypturellus casiquiare","http://purl.obolibrary.org/obo/NCBITaxon_3036198","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-26D1CE28","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-26D1CE28"
"Crypturellus tataupa","http://purl.obolibrary.org/obo/NCBITaxon_57238","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-9C7F2C57","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-9C7F2C57"
"Anhima cornuta","http://purl.obolibrary.org/obo/NCBITaxon_56280","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-71BA40DC","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-71BA40DC"
"Chauna chavaria","http://purl.obolibrary.org/obo/NCBITaxon_8829","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-013B2B0B","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-013B2B0B"
"Chauna torquata","http://purl.obolibrary.org/obo/NCBITaxon_30388","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-91194BE3","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-91194BE3"
"Anseranas semipalmata","http://purl.obolibrary.org/obo/NCBITaxon_8851","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-89D5434B","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-89D5434B"
"Thalassornis leuconotus","http://purl.obolibrary.org/obo/NCBITaxon_56306","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-2EEDACD5","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-2EEDACD5"
"Dendrocygna guttata","http://purl.obolibrary.org/obo/NCBITaxon_60181","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-1AAB20B0","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-1AAB20B0"
