"taxonLabel","uberonLabel","upp_label","uoo_label"
"Aves","telencephalic song nucleus HVC","has_part","s-block molecular entity"
"Aves","telencephalic song nucleus HVC","has part","baryon"
"Aves","telencephalic song nucleus HVC","has part","baryon"
"Aves","telencephalic song nucleus HVC","has_part","baryon"
"Aves","telencephalic song nucleus HVC","has part","fermion"
"Aves","telencephalic song nucleus HVC","has part","fermion"
"Aves","telencephalic song nucleus HVC","has_part","fermion"
"Aves","telencephalic song nucleus HVC","has part","composite particle"
"Aves","telencephalic song nucleus HVC","has part","composite particle"
"Aves","telencephalic song nucleus HVC","has_part","composite particle"
"Aves","telencephalic song nucleus HVC","has part","hadron"
"Aves","telencephalic song nucleus HVC","has part","hadron"
"Aves","telencephalic song nucleus HVC","has_part","hadron"
"Aves","telencephalic song nucleus HVC","has part","nuclear particle"
"Aves","telencephalic song nucleus HVC","has part","nuclear particle"
"Aves","feathered ear tuft","has member","independent continuant"
"Aves","feathered ear tuft","has member","anatomical structure"
"Aves","feathered ear tuft","has member","continuant"
"Aves","feathered ear tuft","has member","material entity"
"Aves","feathered ear tuft","has member","anatomical entity"
"Aves","feathered ear tuft","has member","connected anatomical structure"
"Aves","feathered ear tuft","has member","material anatomical entity"
"Aves","feathered ear tuft","has member","ectoderm-derived structure"
"Aves","feathered ear tuft","overlaps","multicellular organism"
"Aves","feathered ear tuft","overlaps","organism"
"Aves","feathered ear tuft","overlaps","chemical entity"
"Aves","feathered ear tuft","overlaps","inorganic molecular entity"
"Aves","feathered ear tuft","overlaps","entity"
"Aves","feathered ear tuft","has member","entity"
"Aves","feathered ear tuft","overlaps","ion"
"Aves","feathered ear tuft","overlaps","hydrogen molecular entity"
"Aves","feathered ear tuft","overlaps","system"
"Aves","feathered ear tuft","overlaps","feather"
"Aves","feathered ear tuft","has member","feather"
"Aves","feathered ear tuft","overlaps","integumental system"
"Aves","feathered ear tuft","overlaps","cytoskeleton"
"Aves","feathered ear tuft","overlaps","hydron"
"Aves","feathered ear tuft","overlaps","monoatomic cation"
"Aves","feathered ear tuft","overlaps","monoatomic ion"
"Aves","feathered ear tuft","overlaps","inorganic ion"
"Aves","feathered ear tuft","overlaps","inorganic cation"
"Aves","feathered ear tuft","overlaps","cation"
"Aves","feathered ear tuft","overlaps","intracellular anatomical structure"
"Aves","feathered ear tuft","overlaps","intermediate filament"
"Aves","feathered ear tuft","overlaps","intracellular membraneless organelle"
"Aves","feathered ear tuft","overlaps","supramolecular complex"
